gene	entrez_id	chromosome	start_position	end_position	prop_express	selected.Astro	selected.Exc	selected.Inh	selected.Micro	selected.Oligo	selected.OPC
5-HT3C2	389180	3	184076646	184084331	0.0412118080227376	0	0	0	0	0	0
A1BG-AS1	503538	19	58351970	58355183	0.0344293004327886	0	0	0	0	0	0
A1CF	29974	10	50799409	50885675	0.0213810477359344	0	0	0	0	0	0
A2M-AS1	144571	12	9065177	9068055	0.0397261158839868	0	0	0	0	0	0
A2MP1	3	12	9228533	9234207	0.0275821975324591	0	0	0	0	0	0
AA06	100506677	17	33529787	33533760	0.0127252761449519	0	0	0	0	0	0
AACSP1	729522	5	178764861	178776276	0.0181512822169111	0	0	0	0	0	0
AADACL2-AS1	101928142	3	151751179	151928175	0.0107874168335379	0	0	0	0	0	0
AAED1	195827	9	96641251	96655323	0.0456042891286093	0	0	0	0	0	0
AAGAB	79719	15	67200675	67255198	0.357793424197403	0	0	0	0	0	0
AAMDC	28971	11	77821107	77872354	0.098055681157548	0	0	0	0	0	0
AAMP	14	2	218264129	218270209	0.40720883663846	0	0	0	0	0	0
AANAT	15	17	76452853	76470790	0.0166009947677799	0	0	0	0	0	0
AAR2	25980	20	36236417	36256941	0.119888896066146	0	0	0	0	0	0
AARD	441376	8	116938225	116944000	0.0654996447257929	0	0	0	0	0	0
AARS	16	16	70252295	70289550	0.571151734384084	0	0	0	0	0	0
AARS2	57505	6	44297826	44313358	0.237646146889736	0	0	0	0	0	0
AARSD1	80755	17	42950526	42964498	0.282733673535301	0	0	0	0	0	0
AASDHPPT	60496	11	106077565	106098692	0.513532717524708	0	0	0	0	0	0
AATBC	284837	21	43805758	43812567	0.0110457980750598	0	0	0	0	0	0
AATF	26574	17	36948875	37056871	0.0956010593630902	0	0	0	0	0	0
ABCA10	10349	17	69148007	69244815	0.515018409663458	0	0	0	0	0	0
ABCA11P	79963	4	425435	474209	0.255668238485886	0	0	0	0	0	0
ABCA12	26154	2	214931542	215138580	0.0440540016794781	0	0	0	0	0	0
ABCA13	154664	7	48171448	48647497	0.0135650151798979	0	0	0	0	0	0
ABCA17P	650655	16	2340922	2426699	0.146954331115561	0	0	0	0	0	0
ABCA4	24	1	93992837	94121149	0.0472191718881209	0	0	0	0	0	0
ABCA5	23461	17	69244435	69327182	0.888443898972935	0	0	0	0	0	0
ABCA6	23460	17	69078089	69141992	0.493249790065241	0	0	0	0	0	0
ABCA7	10347	19	1040103	1065572	0.320651120728635	0	0	0	0	0	0
ABCA9	10350	17	68974632	69067443	0.429494218719721	0	0	0	0	0	0
ABCA9-AS1	104355297	17	69004714	69018323	0.0280989600155029	0	0	0	0	0	0
ABCB1	5243	7	87503863	87713323	0.166009947677799	0	0	0	0	0	0
ABCB10	23456	1	229516582	229558695	0.359666688198437	0	0	0	0	0	0
ABCB10P1	56476	15	23179882	23183659	0.0135004198695175	0	0	0	0	0	0
ABCB5	340273	7	20615622	20757014	0.0180866869065306	0	0	0	0	0	0
ABCB6	10058	2	219209766	219218990	0.447064143143208	0	0	0	0	0	0
ABCB7	22	X	75053172	75156340	0.244687035721207	0	0	0	0	0	0
ABCB8	11194	7	151028422	151047782	0.376526064207739	0	0	0	0	0	0
ABCB9	23457	12	122918708	122975125	0.439312705897552	0	0	0	0	0	0
ABCC1	4363	16	15949577	16143074	0.244105677927782	0	0	0	0	0	0
ABCC10	89845	6	43427546	43451980	0.358439377301208	0	0	0	0	0	0
ABCC2	1244	10	99782598	99852576	0.0121439183515277	0	0	0	0	0	0
ABCC3	8714	17	50634843	50691704	0.0646599056908468	0	0	0	0	0	0
ABCC5	10057	3	183919934	184018010	0.866158516891674	0	0	0	0	0	0
ABCC5-AS1	100873982	3	184006338	184011419	0.0349460629158323	0	0	0	0	0	0
ABCC6	368	16	16149565	16223673	0.0248045991860991	0	0	0	0	0	0
ABCD1	215	X	153724851	153744762	0.017311543181965	0	0	0	0	0	0
ABCD4	5826	14	74285277	74303064	0.500807441379756	0	0	0	0	0	0
ABCE1	6059	4	145098004	145129524	0.447968477488534	0	0	0	0	0	0
ABCF1	23	6	30571393	30591532	0.509140236418836	0	0	0	0	0	0
ABCF2	10061	7	151207830	151227374	0.313158064724501	0	0	0	0	0	0
ABCF2P1	344653	3	88317091	88319021	0.0151798979394096	0	0	0	0	0	0
ABCF3	55324	3	184186075	184194452	0.369485175376268	0	0	0	0	0	0
ABCG5	64240	2	43806155	43838865	0.145920806149474	0	0	0	0	0	0
ABCG8	64241	2	43828954	43880189	0.0344293004327886	0	0	0	0	0	0
ABHD1	84696	2	27123780	27130991	0.0197661649764227	0	0	0	0	0	0
ABHD10	55347	3	111978876	111993368	0.27427168787546	0	0	0	0	0	0
ABHD11	83451	7	73736094	73738885	0.239842387442672	0	0	0	0	0	0
ABHD12B	145447	14	50872090	50904970	0.109230669853369	0	0	0	0	0	0
ABHD13	84945	13	108218415	108234255	0.324979006524126	0	0	0	0	0	0
ABHD14B	84836	3	51968510	51974630	0.37943285317486	0	0	0	0	0	0
ABHD15	116236	17	29560661	29567024	0.0623344745171501	0	0	0	0	0	0
ABHD16A	7920	6	31686949	31703360	0.374200633034042	0	0	0	0	0	0
ABHD16B	140701	20	63861213	63862988	0.0135650151798979	0	0	0	0	0	0
ABHD17AP1	728917	1	148146066	148149788	0.0384342096763775	0	0	0	0	0	0
ABHD17AP3	648359	1	214605457	214609203	0.0296492474646341	0	0	0	0	0	0
ABHD17AP4	729495	22	20667597	20671339	0.0128544667657128	0	0	0	0	0	0
ABHD17AP6	644988	17	20840687	20844479	0.0756411084555261	0	0	0	0	0	0
ABHD17C	58489	15	80695311	80755621	0.107938763645759	0	0	0	0	0	0
ABHD4	63874	14	22598238	22612923	0.0419223564369227	0	0	0	0	0	0
ABHD5	51099	3	43690883	43722725	0.446611975970545	0	0	0	0	0	0
ABHD8	79575	19	17292131	17303473	0.212324785220593	0	0	0	0	0	0
ABI1P1	326268	14	55546559	55550363	0.0557457528583425	0	0	0	0	0	0
ABI3BP	25890	3	100749335	100993493	0.0618177120341063	0	0	0	0	0	0
ABL1	25	9	130713881	130887675	0.212647761772495	0	0	0	0	0	0
ABL2	27	1	179099327	179229693	0.523803371875202	0	0	0	0	0	0
ABLIM3	22885	5	149141483	149260439	0.267876752147794	0	0	0	0	0	0
ABO	28	9	133255176	133275214	0.0239002648407726	0	0	0	0	0	0
ABRA	137735	8	106759483	106770244	0.054841418513016	0	0	0	0	0	0
ABRACL	58527	6	139028682	139043302	0.286480201537368	0	0	0	0	0	0
ABT1	29777	6	26596943	26600050	0.108713907370325	0	0	0	0	0	0
ABTB2	25841	11	34150987	34358008	0.0377882565725728	0	0	0	0	0	0
ACACA	31	17	37084992	37406822	0.743233641237646	0	0	0	0	0	0
ACAD10	80724	12	111686053	111757107	0.169562689748724	0	0	0	0	0	0
ACAD11	84129	3	132558138	132660131	0.0769330146631355	0	0	0	0	0	0
ACAD8	27034	11	134253537	134265944	0.477940701505071	0	0	0	0	0	0
ACAD9	28976	3	128879490	128913114	0.209353400943092	0	0	0	0	0	0
ACADM	34	1	75724347	75763679	0.630450229313352	0	0	0	0	0	0
ACADS	35	12	120725738	120740008	0.0821006394935728	0	0	0	0	0	0
ACADSB	36	10	123008913	123058290	0.518118984561721	0	0	0	0	0	0
ACAN	176	15	88803442	88875354	0.0142755635940831	0	0	0	0	0	0
ACAP1	9744	17	7336511	7351478	0.0325560364317551	0	0	0	0	0	0
ACAT1	38	11	108121531	108148168	0.502486919449648	0	0	0	0	0	0
ACAT2	39	6	159761957	159779112	0.235385311026419	0	0	0	0	0	0
ACBD3	64746	1	226144679	226186722	0.331244751631032	0	0	0	0	0	0
ACBD4	79777	17	45132600	45144181	0.24791680124023	0	0	0	0	0	0
ACBD5	91452	10	27195214	27242139	0.319359214521026	0	0	0	0	0	0
ACBD6	84320	1	180287385	180502967	0.3822750468316	0	0	0	0	0	0
ACCSL	390110	11	43921084	44060307	0.0135004198695175	0	0	0	0	0	0
ACD	65057	16	67657512	67660815	0.429558814030101	0	0	0	0	0	0
ACE	1636	17	63477061	63498380	0.0972159421226019	0	0	0	0	0	0
ACE3P	100129123	17	63507034	63519827	0.0700213164524256	0	0	0	0	0	0
ACER1	125981	19	6306142	6353444	0.0222853820812609	0	0	0	0	0	0
ACER2	340485	9	19406011	19452505	0.0264840772559912	0	0	0	0	0	0
ACIN1	22985	14	23058564	23095614	0.66617143595375	0	0	0	0	0	0
ACKR1	2532	1	159204013	159206500	0.162909372779536	0	0	0	0	0	0
ACKR2	1238	3	42809472	42867283	0.0182158775272915	0	0	0	0	0	0
ACKR4	51554	3	132597237	132602644	0.033654156708223	0	0	0	0	0	0
ACMSD	130013	2	134838348	134902076	0.0748659647309605	0	0	0	0	0	0
ACOT1	641371	14	73493234	73543799	0.102964924746463	0	0	0	0	0	0
ACOT12	134526	5	81329991	81394169	0.0122731089722886	0	0	0	0	0	0
ACOT2	10965	14	73567620	73575658	0.195400813900911	0	0	0	0	0	0
ACOT4	122970	14	73591706	73595766	0.0903688392222725	0	0	0	0	0	0
ACOT6	641372	14	73612296	73619908	0.106776048058911	0	0	0	0	0	0
ACOT8	10005	20	45841721	45857409	0.133712292487565	0	0	0	0	0	0
ACOX1	51	17	75941507	75979434	0.321684645694723	0	0	0	0	0	0
ACOX3	8310	4	8366263	8440725	0.251921710483819	0	0	0	0	0	0
ACOXL	55289	2	110732539	111120610	0.0360441831923002	0	0	0	0	0	0
ACP1	52	2	264140	278283	0.553258833408695	0	0	0	0	0	0
ACP2	53	11	47239302	47248847	0.216781861636845	0	0	0	0	0	0
ACRBP	84519	12	6638076	6647414	0.0132420386279956	0	0	0	0	0	0
ACRC	93953	X	71578024	71613583	0.247141657515664	0	0	0	0	0	0
ACRV1	56	11	125672334	125680898	0.0350752535365932	0	0	0	0	0	0
ACSBG2	81616	19	6135633	6193103	0.0185388540791938	0	0	0	0	0	0
ACSF3	197322	16	89093809	89155846	0.173438408371552	0	0	0	0	0	0
ACSL4	2182	X	109641335	109733392	0.462825398876042	0	0	0	0	0	0
ACSL5	51703	10	112374158	112428380	0.0726697241780247	0	0	0	0	0	0
ACSM3	6296	16	20763990	20797157	0.0235772882888702	0	0	0	0	0	0
ACSM4	341392	12	7304332	7328373	0.0176991150442478	0	0	0	0	0	0
ACSM6	142827	10	95194200	95228929	0.0880434080485757	0	0	0	0	0	0
ACTA1	58	1	229431245	229434096	0.0405012596085524	0	0	0	0	0	0
ACTA2	59	10	88935074	88991390	0.130288741037401	0	0	0	0	0	0
ACTA2-AS1	100132116	10	88932684	88939974	0.0180866869065306	0	0	0	0	0	0
ACTBP1	643309	X	46287816	46289206	0.0229313351850656	0	0	0	0	0	0
ACTBP11	644220	1	223863145	223864935	0.0306181771203411	0	0	0	0	0	0
ACTBP13	389120	3	49873345	49877306	0.0126606808345714	0	0	0	0	0	0
ACTBP2	62	5	77784803	77786597	0.185323945481558	0	0	0	0	0	0
ACTBP3	63	18	59693046	59693473	0.0240294554615335	0	0	0	0	0	0
ACTBP4	64	5	131658440	131660199	0.048058910923067	0	0	0	0	0	0
ACTBP7	67	15	43988478	43990265	0.109101479232608	0	0	0	0	0	0
ACTBP8	68	6	88275305	88277073	0.081583877010529	0	0	0	0	0	0
ACTBP9	69	18	62441924	62443715	0.0346876816743104	0	0	0	0	0	0
ACTG1P1	73	3	139493740	139495682	0.154189005878173	0	0	0	0	0	0
ACTG1P10	83	X	53141688	53143984	0.0645953103804664	0	0	0	0	0	0
ACTG1P12	100418921	3	12070155	12071560	0.0787416833537885	0	0	0	0	0	0
ACTG1P14	100418910	9	6834408	6835584	0.0231897164265874	0	0	0	0	0	0
ACTG1P16	100418960	16	50057956	50059301	0.0133066339383761	0	0	0	0	0	0
ACTG1P17	283693	15	82725880	82739780	0.04708998126736	0	0	0	0	0	0
ACTG1P18	100418924	6	101430411	101431319	0.0342355145016472	0	0	0	0	0	0
ACTG1P19	644160	9	100731200	100732362	0.0101414637297332	0	0	0	0	0	0
ACTG1P20	644961	1	27323874	27326525	0.233705832956527	0	0	0	0	0	0
ACTG1P21	100131291	1	77773868	77774879	0.0211226664944125	0	0	0	0	0	0
ACTG1P23	442097	3	175977486	175978575	0.0194431884245204	0	0	0	0	0	0
ACTG1P3	75	20	1160509	1162097	0.015373683870551	0	0	0	0	0	0
ACTG1P4	648740	1	103569404	103571391	0.100316517020864	0	0	0	0	0	0
ACTG1P9	82	6	46204912	46206561	0.0445707641625218	0	0	0	0	0	0
ACTG2	72	2	73892966	73919653	0.0132420386279956	0	0	0	0	0	0
ACTL6A	86	3	179562880	179588405	0.101220851366191	0	0	0	0	0	0
ACTL6B	51412	7	100643097	100656461	0.499192558620244	0	0	0	0	0	0
ACTR10	55860	14	58200115	58235636	0.588269491634907	0	0	0	0	0	0
ACTR1A	10121	10	102479229	102502755	0.179381176926555	0	0	0	0	0	0
ACTR3B	57180	7	152759749	152887759	0.499773916413668	0	0	0	0	0	0
ACTR3C	653857	7	149887178	150323669	0.363477811510884	0	0	0	0	0	0
ACTR5	79913	20	38748258	38772446	0.160067179122796	0	0	0	0	0	0
ACTR6	64431	12	100200087	100224424	0.379755829726762	0	0	0	0	0	0
ACTR8	93973	3	53864931	53882202	0.210709902461081	0	0	0	0	0	0
ACTRT3	84517	3	169766921	169769895	0.0496091983721982	0	0	0	0	0	0
ACVR1	90	2	157736444	157875862	0.129319811381694	0	0	0	0	0	0
ACVR1B	91	12	51951667	51997079	0.40998643498482	0	0	0	0	0	0
ACVR1C	130399	2	157526767	157628887	0.116465344615981	0	0	0	0	0	0
ACVR2A	92	2	147844517	147930827	0.409340481881015	0	0	0	0	0	0
ACVR2B	93	3	38454299	38493142	0.336283185840708	0	0	0	0	0	0
ACVR2B-AS1	100128640	3	38451027	38454820	0.0208642852528906	0	0	0	0	0	0
ACVRL1	94	12	51906913	51923361	0.0146631354563659	0	0	0	0	0	0
ACY1	95	3	51983284	51989202	0.0112395840062011	0	0	0	0	0	0
ADA	100	20	44619522	44652233	0.0120793230411472	0	0	0	0	0	0
ADAD2	161931	16	84191117	84197166	0.0216394289774562	0	0	0	0	0	0
ADAM12	8038	10	126012385	126388558	0.0754473225243847	0	0	0	0	0	0
ADAM15	8751	1	155051272	155062776	0.281829339189975	0	0	0	0	0	0
ADAM19	8728	5	157477304	157575823	0.223693559847555	0	0	0	0	0	0
ADAM1A	8759	12	111899063	111901902	0.204379562043796	0	0	0	0	0	0
ADAM1B	100420505	12	111927194	111928934	0.0175053291131064	0	0	0	0	0	0
ADAM20	8748	14	70520877	70557701	0.303533363477812	0	0	0	0	0	0
ADAM20P1	317760	14	70468876	70483756	0.129578192623216	0	0	0	0	0	0
ADAM21	8747	14	70452157	70459905	0.0545830372714941	0	0	0	0	0	0
ADAM21P1	145241	14	70245753	70247801	0.0222207867708804	0	0	0	0	0	0
ADAM22	53616	7	87934157	88202889	0.800206704993217	0	0	0	0	0	0
ADAM29	11086	4	174918358	174978180	0.0196369743556618	0	0	0	0	0	0
ADAM32	203102	8	39107531	39284917	0.193979717072541	0	0	0	0	0	0
ADAM7	8756	8	24440996	24512760	0.0575544215489955	0	0	0	0	0	0
ADAM8	101	10	133262416	133276903	0.122020541308701	0	0	0	0	0	0
ADAM9	8754	8	38996965	39105261	0.464375686325173	0	0	0	0	0	0
ADAMDEC1	27299	8	24384285	24406013	0.0377236612621924	0	0	0	0	0	0
ADAMTS12	81792	5	33523535	33892194	0.0136296104902784	0	0	0	0	0	0
ADAMTS13	11093	9	133414339	133459403	0.307732058652542	0	0	0	0	0	0
ADAMTS16	170690	5	5140330	5320299	0.0895291001873264	0	0	0	0	0	0
ADAMTS18	170692	16	77282128	77435114	0.017311543181965	0	0	0	0	0	0
ADAMTS19	171019	5	129460399	129738763	0.351204702538596	0	0	0	0	0	0
ADAMTS19-AS1	103689846	5	129459559	129460689	0.0184096634584329	0	0	0	0	0	0
ADAMTS2	9509	5	179110851	179345430	0.0310057489826239	0	0	0	0	0	0
ADAMTS20	80070	12	43352843	43551940	0.0121439183515277	0	0	0	0	0	0
ADAMTS5	11096	21	26917912	26967120	0.0366901362961049	0	0	0	0	0	0
ADAMTS7	11173	15	78759203	78811464	0.0260965053937084	0	0	0	0	0	0
ADAMTS7P4	642935	15	85255366	85270854	0.0888831470835217	0	0	0	0	0	0
ADAMTS9	56999	3	64515654	64688000	0.0602674245849751	0	0	0	0	0	0
ADAMTS9-AS1	101929335	3	64561346	64590084	0.0197015696660422	0	0	0	0	0	0
ADAMTSL1	92949	9	17906603	18910950	0.065370454105032	0	0	0	0	0	0
ADAMTSL4	54507	1	150549369	150560937	0.0280343647051224	0	0	0	0	0	0
ADAMTSL4-AS1	574406	1	150560895	150574552	0.0410826174019766	0	0	0	0	0	0
ADAR	103	1	154582057	154628013	0.70777081583877	0	0	0	0	0	0
ADARB1	104	21	45074578	45226563	0.40998643498482	0	0	0	0	0	0
ADAT1	23536	16	75598349	75623323	0.242878367030554	0	0	0	0	0	0
ADAT2	134637	6	143422832	143450750	0.415670822298301	0	0	0	0	0	0
ADAT3	113179	19	1905372	1913447	0.0127898714553323	0	0	0	0	0	0
ADCK1	57143	14	77800065	77933954	0.226535753504296	0	0	0	0	0	0
ADCK2	90956	7	140672925	140695111	0.179704153478457	0	0	0	0	0	0
ADCK3	56997	1	226940237	226987545	0.301014146372973	0	0	0	0	0	0
ADCK4	79934	19	40691529	40716960	0.122537303791745	0	0	0	0	0	0
ADCK5	203054	8	144374015	144393242	0.310574252309282	0	0	0	0	0	0
ADCY1	107	7	45574140	45723116	0.687100316517021	0	0	0	0	0	0
ADCY10	55811	1	167809080	167915526	0.103029520056844	0	0	0	0	0	0
ADCY3	109	2	24819169	24919733	0.408759124087591	0	0	0	0	0	0
ADCY5	111	3	123282296	123448638	0.11911375234158	0	0	0	0	0	0
ADCY6	112	12	48766192	48789037	0.544667657128093	0	0	0	0	0	0
ADCY9	115	16	3953387	4116185	0.255926619727408	0	0	0	0	0	0
ADD2	119	2	70661202	70768243	0.355532588334087	0	0	0	0	0	0
ADGB	79747	6	146598965	146815462	0.0151153026290291	0	0	0	0	0	0
ADGRA1	84435	10	133070929	133131675	0.518312770492862	0	0	0	0	0	0
ADGRA1-AS1	100128127	10	133085244	133086697	0.048898649958013	0	0	0	0	0	0
ADGRA2	25960	8	37796883	37843986	0.157031199534914	0	0	0	0	0	0
ADGRD1	283383	12	130953907	131141465	0.0315225114656676	0	0	0	0	0	0
ADGRE2	30817	19	14724170	14778541	0.0213810477359344	0	0	0	0	0	0
ADGRE5	976	19	14381144	14408725	0.0251921710483819	0	0	0	0	0	0
ADGRF3	165082	2	26308173	26346817	0.0679542665202506	0	0	0	0	0	0
ADGRF5	221395	6	46852505	46954954	0.0965053937084168	0	0	0	0	0	0
ADGRG2	10149	X	18989307	19122931	0.0458626703701311	0	0	0	0	0	0
ADGRG6	57211	6	142301919	142446266	0.0301660099476778	0	0	0	0	0	0
ADGRL1	22859	19	14147737	14206248	0.829920547768232	0	0	0	0	0	0
