"gene","chromosome","entrez_id","gene_name","mouse_homologenes"
"3.8-1.2","6",353007,"HLA complex group 26 (non-protein coding) pseudogene",""
"3.8-1.3","6",353008,"HLA complex group 26 (non-protein coding) pseudogene",""
"3.8-1.4","6",353009,"HLA complex group 26 (non-protein coding) pseudogene",""
"3.8-1.5","6",353010,"HLA complex group 26 (non-protein coding) pseudogene",""
"5-HT3C2","3",389180,"5-hydroxytryptamine (serotonin) receptor 3, family member E pseudogene",""
"A1BG","19",1,"alpha-1-B glycoprotein","A1bg"
"A1BG-AS1","19",503538,"A1BG antisense RNA 1",""
"A1CF","10",29974,"APOBEC1 complementation factor","A1cf"
"A2M","12",2,"alpha-2-macroglobulin","A2m"
"A2M-AS1","12",144571,"A2M antisense RNA 1 (head to head)",""
"A2ML1","12",144568,"alpha-2-macroglobulin-like 1",""
"A2MP1","12",3,"alpha-2-macroglobulin pseudogene 1",""
"A3GALT2","1",127550,"alpha 1,3-galactosyltransferase 2","A3galt2"
"A4GALT","22",53947,"alpha 1,4-galactosyltransferase","A4galt"
"A4GNT","3",51146,"alpha-1,4-N-acetylglucosaminyltransferase","A4gnt"
"AA06","17",100506677,"uncharacterized LOC100506677",""
"AAAS","12",8086,"achalasia, adrenocortical insufficiency, alacrimia","Aaas"
"AACS","12",65985,"acetoacetyl-CoA synthetase","Aacs"
"AACSP1","5",729522,"acetoacetyl-CoA synthetase pseudogene 1",""
"AADAC","3",13,"arylacetamide deacetylase","Aadac"
"AADACL2","3",344752,"arylacetamide deacetylase-like 2","Aadacl2"
"AADACL2-AS1","3",101928142,"AADACL2 antisense RNA 1",""
"AADACL3","1",126767,"arylacetamide deacetylase-like 3","Aadacl3"
"AADACL4","1",343066,"arylacetamide deacetylase-like 4","Gm13177"
"AADACP1","3",201651,"arylacetamide deacetylase pseudogene 1",""
"AADAT","4",51166,"aminoadipate aminotransferase","Aadat"
"AAED1","9",195827,"AhpC/TSA antioxidant enzyme domain containing 1","Aaed1"
"AAGAB","15",79719,"alpha- and gamma-adaptin binding protein","Aagab"
"AAK1","2",22848,"AP2 associated kinase 1","Aak1"
"AAMDC","11",28971,"adipogenesis associated, Mth938 domain containing","Aamdc"
"AAMP","2",14,"angio-associated, migratory cell protein","Aamp"
"AANAT","17",15,"aralkylamine N-acetyltransferase","Aanat"
"AAR2","20",25980,"AAR2 splicing factor homolog (S. cerevisiae)","Aar2"
"AARD","8",441376,"alanine and arginine rich domain containing protein","Aard"
"AARS","16",16,"alanyl-tRNA synthetase","Aars"
"AARS2","6",57505,"alanyl-tRNA synthetase 2, mitochondrial","Aars2"
"AARSD1","17",80755,"alanyl-tRNA synthetase domain containing 1","Aarsd1"
"AASDH","4",132949,"aminoadipate-semialdehyde dehydrogenase","Aasdh"
"AASDHPPT","11",60496,"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","Aasdhppt"
"AASS","7",10157,"aminoadipate-semialdehyde synthase","Aass"
"AATBC","21",284837,"apoptosis associated transcript in bladder cancer",""
"AATF","17",26574,"apoptosis antagonizing transcription factor","Aatf"
"AATK","17",9625,"apoptosis-associated tyrosine kinase","Aatk"
"AATK-AS1","17",388428,"AATK antisense RNA 1",""
"ABAT","16",18,"4-aminobutyrate aminotransferase","Abat"
"ABCA1","9",19,"ATP-binding cassette, sub-family A (ABC1), member 1","Abca1"
"ABCA10","17",10349,"ATP-binding cassette, sub-family A (ABC1), member 10",""
"ABCA11P","4",79963,"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene",""
"ABCA12","2",26154,"ATP-binding cassette, sub-family A (ABC1), member 12","Abca12"
