gene	entrez_id	chromosome	start_position	end_position	prop_express	selected.Astro	selected.Exc	selected.Inh	selected.Micro	selected.Oligo	selected.OPC
A1BG	1	19	58346806	58353499	0.154382791809315	0	0	0	0	1	0
A2ML1	144568	12	8822554	8886918	0.105161165299399	1	0	0	0	0	0
AAAS	8086	12	53307456	53321628	0.419481945610749	1	0	0	0	0	0
AACS	65985	12	125065379	125143327	0.540921129126025	0	1	0	0	0	0
AADAT	51166	4	170060222	170091699	0.300368193269169	1	0	0	0	0	0
AAK1	22848	2	69457995	69643845	0.986241198888961	0	0	1	0	0	0
AASDH	132949	4	56337687	56389418	0.582455913700665	1	0	0	0	0	0
AATK	9625	17	81117295	81166072	0.407596408500743	0	0	0	0	1	0
ABAT	18	16	8674587	8784575	0.594858213293715	0	0	1	0	0	0
ABCA2	20	9	137007234	137028974	0.598733931916543	0	0	0	0	1	0
ABCA3	21	16	2275878	2340746	0.652993992636135	0	0	1	0	0	0
ABCA8	10351	17	68867287	68955408	0.0517408436147536	0	0	0	0	1	0
ABCB4	5244	7	87402044	87477523	0.0219624055293586	0	0	0	1	0	0
ABCC12	94160	16	48082973	48146770	0.169562689748724	0	1	0	0	0	0
ABCC4	10257	13	95019829	95301446	0.0886893611523803	0	0	0	1	0	0
ABCC6P1	653190	16	18571248	18598289	0.0315871067760481	0	0	0	0	0	1
ABCC8	6833	11	17392885	17476845	0.709450293908662	0	1	0	0	0	0
ABCD2	225	12	39550353	39651328	0.216717266326465	1	0	0	0	0	0
ABCG1	9619	21	42199689	42304387	0.216588075705704	0	0	0	0	1	0
ABCG4	64137	11	119149040	119162666	0.222530844260707	0	0	1	0	0	0
ABHD12	26090	20	25294743	25390982	0.4126994380208	0	0	1	0	0	0
ABHD14A	25864	3	51975026	51981200	0.345391124604354	0	0	1	0	0	0
ABHD17A	81926	19	1876976	1885519	0.25069439958659	0	0	0	0	1	0
ABHD17B	51104	9	71862452	71911233	0.19662812479814	0	0	0	0	1	0
ABHD6	57406	3	58237506	58294738	0.37671985013888	0	0	0	0	1	0
ABI2	10152	2	203327874	203432173	0.840837155222531	0	1	0	0	0	0
ABLIM2	84448	4	7965310	8158832	0.484916995026161	0	1	0	0	0	0
ABTB1	80325	3	127672938	127680926	0.448872811833861	0	1	0	0	0	0
ACAA1	30	3	38122710	38137242	0.540275176022221	1	0	0	0	0	0
ACAA2	10449	18	49783504	49813881	0.0549706091337769	1	0	0	0	0	0
ACACB	32	12	109111184	109268226	0.0734448679025903	1	0	0	0	0	0
ACADL	33	2	210187990	210225491	0.0465732187843163	0	0	1	0	0	0
ACADVL	37	17	7217125	7225267	0.878625411795104	1	0	0	0	0	0
